match_id,team1_id,team2_id,winner,loser,drawn,tied,date,type_of_match
62528,1,2,2,1,,,1921-07-02,Test
62529,1,2,0,,1,,1921-07-23,Test
62530,1,2,0,,1,,1921-08-13,Test
62531,3,2,0,,1,,1921-11-05,Test
62532,3,2,0,,1,,1921-11-12,Test
62533,3,2,2,3,,,1921-11-26,Test
62534,3,1,3,1,,,1922-12-23,Test
62535,3,1,1,3,,,1923-01-01,Test
62536,3,1,0,,1,,1923-01-18,Test
62537,3,1,0,,1,,1923-02-09,Test
62538,3,1,1,3,,,1923-02-16,Test
62539,1,3,1,3,,,1924-06-14,Test
62540,1,3,1,3,,,1924-06-28,Test
62541,1,3,1,3,,,1924-07-12,Test
62542,1,3,0,,1,,1924-07-26,Test
62543,1,3,0,,1,,1924-08-16,Test
62544,2,1,2,1,,,1924-12-19,Test
62545,2,1,2,1,,,1925-01-01,Test
62546,2,1,2,1,,,1925-01-16,Test
62547,2,1,1,2,,,1925-02-13,Test
62548,2,1,2,1,,,1925-02-27,Test
62549,1,2,0,,1,,1926-06-12,Test
62550,1,2,0,,1,,1926-06-26,Test
62551,1,2,0,,1,,1926-07-10,Test
62552,1,2,0,,1,,1926-07-24,Test
62553,1,2,1,2,,,1926-08-14,Test
62554,3,1,1,3,,,1927-12-24,Test
62555,3,1,1,3,,,1927-12-31,Test
62556,3,1,0,,1,,1928-01-21,Test
62557,3,1,3,1,,,1928-01-28,Test
62558,3,1,3,1,,,1928-02-04,Test
62559,1,4,1,4,,,1928-06-23,Test
62560,1,4,1,4,,,1928-07-21,Test
62561,1,4,1,4,,,1928-08-11,Test
62562,2,1,1,2,,,1928-11-30,Test
62563,2,1,1,2,,,1928-12-14,Test
62564,2,1,1,2,,,1928-12-29,Test
62565,2,1,1,2,,,1929-02-01,Test
62566,2,1,2,1,,,1929-03-08,Test
62567,1,3,0,,1,,1929-06-15,Test
62568,1,3,0,,1,,1929-06-29,Test
62569,1,3,1,3,,,1929-07-13,Test
62570,1,3,1,3,,,1929-07-27,Test
62571,1,3,0,,1,,1929-08-17,Test
62572,5,1,1,5,,,1930-01-10,Test
62573,5,1,0,,1,,1930-01-24,Test
62574,5,1,0,,1,,1930-02-14,Test
62575,5,1,0,,1,,1930-02-21,Test
62576,4,1,0,,1,,1930-01-11,Test
62577,4,1,1,4,,,1930-02-01,Test
62578,4,1,4,1,,,1930-02-21,Test
62579,4,1,0,,1,,1930-04-03,Test
62580,1,2,1,2,,,1930-06-13,Test
62581,1,2,2,1,,,1930-06-27,Test
62582,1,2,0,,1,,1930-07-11,Test
62583,1,2,0,,1,,1930-07-25,Test
62584,1,2,2,1,,,1930-08-16,Test
62585,2,4,2,4,,,1930-12-12,Test
62586,2,4,2,4,,,1931-01-01,Test
62587,2,4,2,4,,,1931-01-16,Test
62588,2,4,2,4,,,1931-02-13,Test
62589,2,4,4,2,,,1931-02-27,Test
62590,3,1,3,1,,,1930-12-24,Test
62591,3,1,0,,1,,1931-01-01,Test
62592,3,1,0,,1,,1931-01-16,Test
62593,3,1,0,,1,,1931-02-13,Test
62594,3,1,0,,1,,1931-02-21,Test
62595,1,5,0,,1,,1931-06-27,Test
62596,1,5,1,5,,,1931-07-29,Test
62597,1,5,0,,1,,1931-08-15,Test
62598,2,3,2,3,,,1931-11-27,Test
62599,2,3,2,3,,,1931-12-18,Test
62600,2,3,2,3,,,1931-12-31,Test
62601,2,3,2,3,,,1932-01-29,Test
62602,2,3,2,3,,,1932-02-12,Test
62603,5,3,3,5,,,1932-02-27,Test
62604,5,3,3,5,,,1932-03-04,Test
62605,1,6,1,6,,,1932-06-25,Test
62606,2,1,1,2,,,1932-12-02,Test
62607,2,1,2,1,,,1932-12-30,Test
62608,2,1,1,2,,,1933-01-13,Test
62609,2,1,1,2,,,1933-02-10,Test
62610,2,1,1,2,,,1933-02-23,Test
62611,5,1,0,,1,,1933-03-24,Test
62612,5,1,0,,1,,1933-03-31,Test
62613,1,4,1,4,,,1933-06-24,Test
62614,1,4,0,,1,,1933-07-22,Test
62615,1,4,1,4,,,1933-08-12,Test
62616,6,1,1,6,,,1933-12-15,Test
62617,6,1,0,,1,,1934-01-05,Test
62618,6,1,1,6,,,1934-02-10,Test
62619,1,2,2,1,,,1934-06-08,Test
62620,1,2,1,2,,,1934-06-22,Test
